+----------------------------------------+-------------+
|                 Label                  | Address(PC) |
+----------------------------------------+-------------+
|             Sys.init$ret.1             |     1076    |
|               Array.new                |     1088    |
|           Memory.alloc$ret.2           |     1176    |
|             Array.dispose              |     1232    |
|          Memory.deAlloc$ret.3          |     1324    |
|             Keyboard.init              |     1404    |
|          Math.multiply$ret.4           |     1516    |
|          Keyboard.keyPressed           |     1604    |
|           Keyboard.readChar            |     1708    |
|      WHILE_EXP0$Keyboard.readChar      |     1732    |
|     LOOP_EXIT_1$Keyboard.readChar      |     1804    |
|       Keyboard.keyPressed$ret.5        |     1880    |
|     LOOP_EXIT_2$Keyboard.readChar      |     1956    |
|       IF_TRUE0$Keyboard.readChar       |     1960    |
|     LOOP_EXIT_3$Keyboard.readChar      |     2024    |
|       IF_TRUE1$Keyboard.readChar       |     2028    |
|      IF_FALSE1$Keyboard.readChar       |     2040    |
|       IF_END1$Keyboard.readChar        |     2048    |
|      IF_FALSE0$Keyboard.readChar       |     2052    |
|     LOOP_EXIT_4$Keyboard.readChar      |     2116    |
|       IF_TRUE2$Keyboard.readChar       |     2120    |
|      IF_FALSE2$Keyboard.readChar       |     2124    |
|       IF_END2$Keyboard.readChar        |     2132    |
|       IF_END0$Keyboard.readChar        |     2132    |
|      WHILE_END0$Keyboard.readChar      |     2136    |
|     LOOP_EXIT_5$Keyboard.readChar      |     2184    |
|       IF_TRUE3$Keyboard.readChar       |     2188    |
|     LOOP_EXIT_6$Keyboard.readChar      |     2236    |
|       IF_TRUE4$Keyboard.readChar       |     2240    |
|         Output.printChar$ret.6         |     2360    |
|      IF_FALSE4$Keyboard.readChar       |     2376    |
|       IF_END4$Keyboard.readChar        |     2376    |
|      IF_FALSE3$Keyboard.readChar       |     2380    |
|       IF_END3$Keyboard.readChar        |     2380    |
|     LOOP_EXIT_7$Keyboard.readChar      |     2428    |
|       IF_TRUE5$Keyboard.readChar       |     2432    |
|     LOOP_EXIT_8$Keyboard.readChar      |     2480    |
|       IF_TRUE6$Keyboard.readChar       |     2484    |
|         Output.printChar$ret.7         |     2572    |
|      IF_FALSE6$Keyboard.readChar       |     2588    |
|       IF_END6$Keyboard.readChar        |     2588    |
|      IF_FALSE5$Keyboard.readChar       |     2592    |
|       IF_END5$Keyboard.readChar        |     2592    |
|           Keyboard.readLine            |     2660    |
|            String.new$ret.8            |     2764    |
